,proprty_type,seller,Location,Area in sqft,Rate/sq_ft,price,status,possession,Approved by RERA
2549,"2 BHK Apartment in Jayam heightsKurmannapalem, Visakhapatnam",Sainadh,"Kurmannapalem, Visakhapatnam",1060 ,"3,700 / sq ft", 39.22 L,Under Construction,Possession by Nov 20222 Bathrooms2nd of 5floor,No
2550,"3 BHK Villa in Baskar avenueLankelapalem, Visakhapatnam",Sainadh,"Lankelapalem, Visakhapatnam",1000 ,"4,200 / sq ft", 42 L,Under Construction,Possession by Nov 20223 BathroomsNew ,No
2551,"3 BHK Villa in Baskar avenueLankelapalem, Visakhapatnam",Sainadh,"Lankelapalem, Visakhapatnam",920 ,"3,804 / sq ft", 35 L,Ready to move,1 - 2 years old3 BathroomsNew ,No
2552,"2 BHK Independent House in BaskarsLankelapalem, Visakhapatnam",Sainadh,"Lankelapalem, Visakhapatnam",1260 ,"3,809 / sq ft", 48 L,Ready to move,1 - 2 years old2 BathroomsNew ,No
2553,"3 BHK Villa in Lohitha VillasDuvvada, Visakhapatnam",Sainadh,"Duvvada, Visakhapatnam",1857 ,"4,577 / sq ft", 85 L,Under Construction,Possession by Dec 20223 BathroomsNew ,No
2554,"2 BHK Independent House in Lohithas vvDuvvada, Visakhapatnam",Sainadh,"Duvvada, Visakhapatnam",1211 ,"4,954 / sq ft", 60 L,Under Construction,Possession by Dec 20222 BathroomsNew ,No
2555,"2 BHK Apartment in KOMMADHIVisakhapatnam, Visakhapatnam",honeyy group,"Visakhapatnam, Visakhapatnam",900 ,"4,333 / sq ft", 39 L,Ready to move,1 - 2 years old2 Bathrooms1st of 7floor,No
2556,"Residential PlotKothavalasa, Visakhapatnam",seshu,"Kothavalasa, Visakhapatnam",1800 ,388 / sq ft, 7 L,New,1 - 2 years old2 open sides 1 L booking amount,No
2557,"Residential Plot in Lotus Green Hill ViewGidijala, Visakhapatnam",manju,"Gidijala, Visakhapatnam",2403 ,"1,777 / sq ft", 42.72 L,New,1 open sides 1 L booking amountWest facing,No
2558,"Residential Plot in emerald anenueKothavalasa, Visakhapatnam",manju,"Kothavalasa, Visakhapatnam",1800 ,833 / sq ft, 15 L,New,1 open sides 1 L booking amountWest facing,No
2559,"Residential Plot in emerald anenueKothavalasa, Visakhapatnam",manju,"Kothavalasa, Visakhapatnam",1503 ,833 / sq ft, 12.52 L,New,1 open sides 1 L booking amountWest facing,No
2560,"3 BHK Apartment in  Predama EnclavePothinamallayya Palem, Visakhapatnam",devudu babu,"Pothinamallayya Palem, Visakhapatnam",1800 ,"5,166 / sq ft", 93 L,Ready to move,3 Bathrooms1st of 5floorNew ,No
2561,"2 BHK Apartment in Gayatri Gayatri EnclaveMadhurawada, Visakhapatnam",devudu babu,"Madhurawada, Visakhapatnam",1270 ,"5,118 / sq ft", 65 L,Under Construction,Possession by May 20243 Bathrooms2nd of 5floor,Yes
2562,"2 BHK Apartment in Gayatri Gayatri EnclaveMadhurawada, Visakhapatnam",devudu babu,"Madhurawada, Visakhapatnam",1060 ,"4,905 / sq ft", 52 L,Under Construction,Possession by Aug 20232 Bathrooms2nd of 5floor,Yes
2563,"2 BHK Apartment in  HeightsPothinamallayya Palem, Visakhapatnam",devudu babu,"Pothinamallayya Palem, Visakhapatnam",1000 ,"4,400 / sq ft", 44 L,Ready to move,1 - 2 years old2 Bathrooms2nd of 5floor,No
2564,"Residential Plot in nandanavanam sreshta near BARC TOWNSHIP AT ATCHUTAPURAMAtchutapuram, Visakhapatnam",SVD Properties,"Atchutapuram, Visakhapatnam",3600 ,911 / sq ft, 32.8 L,New,3 open sides 1 L booking amountNorthEast facing,No
2565,"Residential Plot in nandanavanam visishta near tagarapuvalasa to revidiTagarapuvalasa, Visakhapatnam",SVD Properties,"Tagarapuvalasa, Visakhapatnam",1800 ,966 / sq ft, 17.4 L,New,2 open sides 1 L booking amountNorthEast facing,No
2566,"Residential Plot in alluris nandanavanam 4 line highway facing layout near rajapulova junctionDakamarri Village Road, Visakhapatnam",SVD Properties,"Dakamarri Village Road, Visakhapatnam",1575 ,"1,666 / sq ft", 26.25 L,New,2 open sides 1 L booking amountEast facing,No
2567,"Residential Plot in nandanavanam subhapradha near Residential Project Rajapulova JunctionTagarapuvalasa Main Road, Visakhapatnam",SVD Properties,"Tagarapuvalasa Main Road, Visakhapatnam",2403 ,"1,777 / sq ft", 42.72 L,New,1 open sides 1 L booking amountNorthEast facing,No
2568,"Residential Plot in nandanavanam subhapradha 6 line highway facing layoutTagarapuvalasa Main Road, Visakhapatnam",SVD Properties,"Tagarapuvalasa Main Road, Visakhapatnam",1503 ,"1,777 / sq ft", 26.72 L,New,2 open sides 1 L booking amountEast facing,No
2569,"Residential Plot in nandanavanam subhapradha 6 line highway facing layout at y junctionTagarapuvalasa Saveravalli Road, Visakhapatnam",SVD Properties,"Tagarapuvalasa Saveravalli Road, Visakhapatnam",1800 ,"1,777 / sq ft", 32 L,New,2 open sides 1 L booking amountNorthEast facing,No
2570,"Residential Plot in alluris nandanavanam near raghu college 4 line highway facing layoutDakamarri Village Road, Visakhapatnam",SVD Properties,"Dakamarri Village Road, Visakhapatnam",1800 ,"1,666 / sq ft", 30 L,New,2 open sides 1 L booking amountWest facing,No
2571,"Residential Plot in nandanavanam visishta majjipeta dakamrri near 200 ft roadDakamarri Village Road, Visakhapatnam",SVD Properties,"Dakamarri Village Road, Visakhapatnam",1800 ,966 / sq ft, 17.4 L,New,2 open sides 1 L booking amountNorthEast facing,No
2572,"Residential Plot in Siri Venkateswara Nandanavanam SreshtaAchutapuram, Visakhapatnam",SVD Properties,"Achutapuram, Visakhapatnam",2403 ,911 / sq ft, 21.89 L,New,2 open sides 1 L booking amountNorthEast facing,No
2573,"Residential Plot in nandanavanam satvika layout 100 ft road facingDuvvada Sabbavaram Road, Visakhapatnam",SVD Properties,"Duvvada Sabbavaram Road, Visakhapatnam",1620 ,"1,777 / sq ft", 28.8 L,New,2 open sides 1 L booking amountEast facing,No
2574,"Residential Plot in nandanavanam subhapradha high facing layout near tagarapuvalasaTagarapuvalasa Main Road, Visakhapatnam",SVD Properties,"Tagarapuvalasa Main Road, Visakhapatnam",1800 ,"1,777 / sq ft", 32 L,New,2 open sides 1 L booking amountNorth facing,No
2575,"Residential Plot in nandanavanam subhapradha 2 y junctionTagarapuvalasa, Visakhapatnam",SVD Properties,"Tagarapuvalasa, Visakhapatnam",1503 ,"1,777 / sq ft", 26.72 L,New,2 open sides 1 L booking amountEast facing,No
2576,"Residential Plot in NANDANAVANAM VISISHTA MAINROAD FACINGDakamarri Village Road, Visakhapatnam",SVD Properties,"Dakamarri Village Road, Visakhapatnam",1800 ,966 / sq ft, 17.4 L,New,2 open sides 1 L booking amountEast facing,No
2577,"Residential Plot in ALLURIS NANDANAVANAM NEAR RAGHU ENGINEERING AT DAKAMARRIDakamarri Village Road, Visakhapatnam",SVD Properties,"Dakamarri Village Road, Visakhapatnam",1503 ,"1,666 / sq ft", 25.05 L,New,2 open sides 1 L booking amountEast facing,No
2578,"Residential Plot in nandanavanam subhapradha highway facing layoutTagarapuvalasa, Visakhapatnam",SVD Properties,"Tagarapuvalasa, Visakhapatnam",1503 ,"1,777 / sq ft", 26.72 L,New,2 open sides 1 L booking amountEast facing,No
2579,"Residential Plot in nandanavanam subhapradha highway facing layoutTagarapuvalasa, Visakhapatnam",SVD Properties,"Tagarapuvalasa, Visakhapatnam",1278 ,"1,777 / sq ft", 22.72 L,New,2 open sides 1 L booking amountEast facing,No
2580,"Residential Plot in nandanavanam sreshta near BARC TOWNSHIP NEAR ATCHUTAPURAMAtchutapuram, Visakhapatnam",SVD Properties,"Atchutapuram, Visakhapatnam",1800 ,911 / sq ft, 16.4 L,New,2 open sides 1 L booking amountEast facing,No
2581,"Residential Plot in nandanavanam subhapradha highway facing layoutTagarapuvalasa, Visakhapatnam",SVD Properties,"Tagarapuvalasa, Visakhapatnam",900 ,"1,777 / sq ft", 16 L,New,2 open sides 1 L booking amountNorth facing,No
2582,"Residential Plot in nandanavanam visishta majjipeta 40ft road facingTagarapuvalasa, Visakhapatnam",SVD Properties,"Tagarapuvalasa, Visakhapatnam",1800 ,966 / sq ft, 17.4 L,New,2 open sides 1 L booking amountNorth facing,No
2583,"Residential Plot in alluris nandanavanam near raghu engineering college highway facingDakamarri Village Road, Visakhapatnam",SVD Properties,"Dakamarri Village Road, Visakhapatnam",2403 ,"1,777 / sq ft", 42.72 L,New,2 open sides 1 L booking amountEast facing,No
2584,"Residential Plot in nandanavanam subhapradha highway facing layoutTagarapuvalasa Main Road, Visakhapatnam",SVD Properties,"Tagarapuvalasa Main Road, Visakhapatnam",2403 ,"1,777 / sq ft", 42.72 L,New,2 open sides 1 L booking amountEast facing,No
2585,"Residential Plot in nandanavanam satvika gated community layout 100 ft road facingDuvvada Sabbavaram Road, Visakhapatnam",SVD Properties,"Duvvada Sabbavaram Road, Visakhapatnam",1980 ,"1,411 / sq ft", 27.94 L,New,2 open sides 1 L booking amountNorth facing,No
2586,"Residential Plot in alluris nandanavanam highway faing layout near raghu engineering collegeDakamarri Village Road, Visakhapatnam",SVD Properties,"Dakamarri Village Road, Visakhapatnam",1980 ,"1,666 / sq ft", 33 L,New,2 open sides 1 L booking amountEast facing,No
2587,"Residential Plot in nandanavanam subhapradha 150 mt 6 line highway facingTagarapuvalasa Saveravalli Road, Visakhapatnam",SVD Properties,"Tagarapuvalasa Saveravalli Road, Visakhapatnam",1503 ,"1,777 / sq ft", 26.72 L,New,2 open sides 1 L booking amountEast facing,No
2588,"Residential Plot in alluris nandanavanam 4 line highway facingDakamarri Village Road, Visakhapatnam",SVD Properties,"Dakamarri Village Road, Visakhapatnam",1998 ,"1,666 / sq ft", 33.3 L,New,2 open sides 1 L booking amountEast facing,No
2589,"Residential Plot in nandanavanam visishta near revidi junction majjipeta villageDakamarri Village Road, Visakhapatnam",SVD Properties,"Dakamarri Village Road, Visakhapatnam",1620 ,966 / sq ft, 15.66 L,New,2 open sides 1 L booking amountEast facing,No
2590,"Residential Plot in nandanavanam sreshta near 1000acers barc townshipAtchutapuram, Visakhapatnam",SVD Properties,"Atchutapuram, Visakhapatnam",4500 ,911 / sq ft, 41 L,New,2 open sides 1 L booking amountNorthEast facing,No
2591,"Residential Plot in nandanavanam subhapradha 6 line highway facing layoutTagarapuvalasa, Visakhapatnam",SVD Properties,"Tagarapuvalasa, Visakhapatnam",2403 ,"1,777 / sq ft", 42.72 L,New,2 open sides 1 L booking amountEast facing,No
2592,"Residential Plot in nandanavanam sreshta near BARC TOWNSHIP AT ATCHUTAPURAMAtchutapuram, Visakhapatnam",SVD Properties,"Atchutapuram, Visakhapatnam",1980 ,911 / sq ft, 18.04 L,New,2 open sides 1 L booking amountNorth facing,No
2593,"Residential Plot in nandanavanam 3 100 ft road facing layoutRevidi Road, Visakhapatnam",SVD Properties,"Revidi Road, Visakhapatnam",1800 ,"1,000 / sq ft", 18 L,New,2 open sides 1 L booking amountNorth facing,No
2594,"Residential Plot in alluris nandanavanam highfacing layout gated communityDakamarri Village Road, Visakhapatnam",SVD Properties,"Dakamarri Village Road, Visakhapatnam",1800 ,"1,666 / sq ft", 29.98 L,New,2 open sides 1 L booking amountEast facing,No
2595,"Residential Plot in nandanavanam sreshta steel plant to atchutapuram roadMaduthuru Road, Visakhapatnam",SVD Properties,"Maduthuru Road, Visakhapatnam",1800 ,911 / sq ft, 16.4 L,New,2 open sides 1 L booking amountEast facing,No
2596,"Residential Plot in alluris nandanavanam dakamarriDakamarri Village Road, Visakhapatnam",SVD Properties,"Dakamarri Village Road, Visakhapatnam",1800 ,"1,666 / sq ft", 30 L,New,2 open sides 1 L booking amountEast facing,No
2597,"3 BHK Apartment in Srinivasam apartmentGajuwaka, Visakhapatnam",Mohini Gundura,"Gajuwaka, Visakhapatnam",1500 ,"3,533 / sq ft", 53 L,Ready to move,1 - 2 years old3 Bathrooms1st of 5floor,No
2598,"2 BHK Apartment in Honeyy sreenivasam lankelapalemMurali Nagar, Visakhapatnam",anu,"Murali Nagar, Visakhapatnam",1000 ,"2,100 / sq ft", 21 L,Under Construction,Possession by Mar 20242 BathroomsNew ,No
2599,"3 BHK Apartment in Sreenivasam heGajuwaka, Visakhapatnam",Sivakumar,"Gajuwaka, Visakhapatnam",1500 ,"4,000 / sq ft", 60 L,Ready to move,1 - 2 years old2 Bathrooms2nd of 5floor,No
2600,"2 BHK Apartment in Honeyy sreenivasam 25Lankelapalem, Visakhapatnam",VARALAKSHMI NEELATHADI,"Lankelapalem, Visakhapatnam",1000 ,"2,400 / sq ft", 24 L,Under Construction,Possession by Jul 20232 Bathrooms5th of 24floor,No
2601,"Residential Plot in Vensar Fortune HillsVizianagaram, Visakhapatnam",Aditi Estaste,"Vizianagaram, Visakhapatnam",2860 ,"1,124 / sq ft", 32.15 L,Resale,"2 open sides 59,000 booking amountFreehold ownership",No
2602,"Residential Plot in Veda ViharAchutapuram, Visakhapatnam",Aditi Estaste,"Achutapuram, Visakhapatnam",1560 ,862 / sq ft, 13.45 L,New,"2 open sides 72,000 booking amountFreehold ownership",No
2603,"3 BHK Apartment in  Predama EnclavePothinamallayya Palem, Visakhapatnam",devudu babu,"Pothinamallayya Palem, Visakhapatnam",1250 ,"4,960 / sq ft", 62 L,Under Construction,3 Bathrooms2nd of 5floorNew ,Yes
2604,"3 BHK Apartment in  HeightsPothinamallayya Palem, Visakhapatnam",devudu babu,"Pothinamallayya Palem, Visakhapatnam",1550 ,"4,193 / sq ft", 65 L,Ready to move,1 - 2 years old3 Bathrooms4th of 5floor,No
2605,"Residential Plot in nandanavanam subhapradha 6 line highway facing layoutTagarapuvalasa, Visakhapatnam",SVD Properties,"Tagarapuvalasa, Visakhapatnam",1278 ,"1,777 / sq ft", 22.72 L,New,2 open sides 1 L booking amountEast facing,No
2606,"Residential Plot in ALLURIS NANDANAVANAM HIGHWAYFACING NEAR DAKAMARRIDakamarri Village Road, Visakhapatnam",SVD Properties,"Dakamarri Village Road, Visakhapatnam",1800 ,"1,666 / sq ft", 30 L,New,2 open sides 1 L booking amountNorth facing,No
2607,"Residential Plot in NANDANAVANAM visishta 40ft road facing near revidi junctionDakamarri Village Road, Visakhapatnam",SVD Properties,"Dakamarri Village Road, Visakhapatnam",3600 ,966 / sq ft, 34.8 L,New,2 open sides 1 L booking amountNorthEast facing,No
2608,"Residential Plot in nandanavanam sreshta near BARC TOWNSHIP 60FT MASTER PLAN ROADResidential Open Plot Atchuthapuram, Visakhapatnam",SVD Properties,"Residential Open Plot Atchuthapuram, Visakhapatnam",3600 ,911 / sq ft, 32.8 L,New,2 open sides 1 L booking amountNorthEast facing,No
2609,"Residential Plot in nandanavanam satvika open plots for sale at duvvadaDuvvada Sabbavaram Road, Visakhapatnam",SVD Properties,"Duvvada Sabbavaram Road, Visakhapatnam",1620 ,"1,411 / sq ft", 22.86 L,New,2 open sides 1 L booking amountNorth facing,No
2610,"Residential PlotAraku Visakhapatnam Road, Visakhapatnam",Sri Vaishu Infra,"Araku Visakhapatnam Road, Visakhapatnam",4500 ,244 / sq ft, 11 L,New,"1 open sides 50,000 booking amountEast facing",No
2611,"Residential PlotBoddam KondaganguPudi Road, Visakhapatnam",Sri Vaishu Infra,"Boddam KondaganguPudi Road, Visakhapatnam",4500 ,244 / sq ft, 11 L,New,"1 open sides 50,000 booking amountEast facing",No
2612,"2 BHK Apartment in Honeyy Vensa ClassicMadhurawada, Visakhapatnam",Durga bhavani,"Madhurawada, Visakhapatnam",1060 ,"2,358 / sq ft", 25 L,Under Construction,Possession by May 20222 Bathrooms1st of 2floor,Yes
2613,"3 BHK Apartment in Srinivasa seetammadharaSeethammadhara, Visakhapatnam",sakina,"Seethammadhara, Visakhapatnam",1700 ,"7,700 / sq ft", 1.3 Cr,Under Construction,Possession by Nov 20223 Bathrooms2nd of 5floor,No
2614,"2 BHK Apartment in HB colonyVisakhapatnam, Visakhapatnam",sakina,"Visakhapatnam, Visakhapatnam",1040 ,"7,500 / sq ft", 78 L,Under Construction,Possession by Dec 20222 Bathrooms1st of 4floor,No
2615,"Residential Plot in KrishnagardenKothavalasa, Visakhapatnam",Rajesh,"Kothavalasa, Visakhapatnam",1980 ,"1,055 / sq ft", 20.9 L,New,2 open sides 2 L booking amountEast facing,No
2616,"2 BHK Apartment in Adithya RedeancyMadhurawada, Visakhapatnam",pmahesh babu,"Madhurawada, Visakhapatnam",1200 ,"3,000 / sq ft", 36 L,Ready to move,1 - 2 years old2 BathroomsNew ,No
2617,"2 BHK Apartment in Honeyy group Sreenivasam 115Marikavalasa Road, Visakhapatnam",Vijay,"Marikavalasa Road, Visakhapatnam",1050 ,"3,047 / sq ft", 32 L,Under Construction,Possession by Dec 20232 Bathrooms2nd of 5floor,No
2618,"2 BHK Apartment in Jayam heightsKurmannapalem, Visakhapatnam",Shivaan,"Kurmannapalem, Visakhapatnam",1060 ,"3,700 / sq ft", 39.22 L,Under Construction,Possession by Oct 20222 Bathrooms2nd of 5floor,No
2619,"3 BHK Villa in BaskarsLankelapalem, Visakhapatnam",Shivaan,"Lankelapalem, Visakhapatnam",1000 ,"4,200 / sq ft", 42 L,Under Construction,Possession by Nov 20223 BathroomsNew ,No
2620,"3 BHK Villa in BaskarsLankelapalem, Visakhapatnam",Shivaan,"Lankelapalem, Visakhapatnam",920 ,"3,804 / sq ft", 35 L,Ready to move,1 - 2 years old3 BathroomsNew ,No
2621,"2 BHK Apartment in Honeyy sreenivasam 09Anakapalle, Visakhapatnam",manojini,"Anakapalle, Visakhapatnam",1000 ,"2,100 / sq ft", 21 L,Under Construction,Possession by Jan 20252 Bathrooms3rd of 5floor,No
2622,"2 BHK Independent House in Baskar avenueLankelapalem, Visakhapatnam",Shivaan,"Lankelapalem, Visakhapatnam",1260 ,"3,809 / sq ft", 48 L,Ready to move,1 - 2 years old2 BathroomsNew ,No
2623,"3 BHK Villa in Lohitha VillasDuvvada, Visakhapatnam",Shivaan,"Duvvada, Visakhapatnam",1857 ,"4,577 / sq ft", 85 L,Under Construction,Possession by Nov 20223 BathroomsNew ,No
2624,"2 BHK Independent House in Lohithas HouseDuvvada, Visakhapatnam",Shivaan,"Duvvada, Visakhapatnam",1211 ,"4,954 / sq ft", 60 L,Under Construction,Possession by Nov 20222 BathroomsNew ,No
2625,"3 BHK Villa in Lohitha VillasDuvvada, Visakhapatnam",Sainadh,"Duvvada, Visakhapatnam",1857 ,"4,577 / sq ft", 85 L,Under Construction,Possession by Oct 20223 BathroomsNew ,No
2626,"2 BHK Independent House in Lohitha HouseDuvvada, Visakhapatnam",Sainadh,"Duvvada, Visakhapatnam",1211 ,"4,954 / sq ft", 60 L,Under Construction,Possession by Nov 20222 BathroomsNew ,No
2627,"2 BHK Apartment in V Enclave nnGajuwaka, Visakhapatnam",Shivaan,"Gajuwaka, Visakhapatnam",1150 ,"5,300 / sq ft", 60.95 L,Under Construction,Possession by Nov 20222 Bathrooms2nd of 5floor,No
2628,"3 BHK Apartment in Sai Sampath VvSheela Nagar, Visakhapatnam",Shivaan,"Sheela Nagar, Visakhapatnam",1400 ,"4,500 / sq ft", 63 L,Under Construction,Possession by Nov 20223 Bathrooms2nd of 4floor,No
2629,"3 BHK Apartment in Jayam heightsKurmannapalem, Visakhapatnam",Shivaan,"Kurmannapalem, Visakhapatnam",1455 ,"3,700 / sq ft", 53.83 L,Under Construction,Possession by Oct 20223 Bathrooms2nd of 5floor,No
2630,"2 BHK Independent House in Baskar avenueLankelapalem, Visakhapatnam",Sainadh,"Lankelapalem, Visakhapatnam",1260 ,"3,809 / sq ft", 48 L,Under Construction,Possession by Nov 20222 BathroomsNew ,No
2631,"3 BHK Apartment in Jayam heightsKurmannapalem, Visakhapatnam",Sainadh,"Kurmannapalem, Visakhapatnam",1455 ,"3,700 / sq ft", 53.83 L,Under Construction,Possession by Nov 20223 Bathrooms2nd of 5floor,No
2632,"2 BHK Apartment in Jayam heightsKurmannapalem, Visakhapatnam",Sainadh,"Kurmannapalem, Visakhapatnam",1060 ,"3,700 / sq ft", 39.22 L,Under Construction,Possession by Nov 20222 Bathrooms2nd of 5floor,No
2633,"3 BHK Villa in Baskars AvenueLankelapalem, Visakhapatnam",Sainadh,"Lankelapalem, Visakhapatnam",1000 ,"4,200 / sq ft", 42 L,Under Construction,Possession by Oct 20223 BathroomsNew ,No
2634,"3 BHK Villa in BaskarsLankelapalem, Visakhapatnam",Sainadh,"Lankelapalem, Visakhapatnam",920 ,"3,804 / sq ft", 35 L,Under Construction,Possession by Nov 20223 BathroomsNew ,No
2635,"3 BHK Apartment in Planet 40Midhilapuri Vuda Colony, Visakhapatnam",smart homes,"Midhilapuri Vuda Colony, Visakhapatnam",1585 ,"5,589 / sq ft", 88.59 L,Under Construction,Possession by Jun 20233 Bathrooms3rd of 5floor,No
2636,"2 BHK Apartment in V Enclave nnGajuwaka, Visakhapatnam",Sainadh,"Gajuwaka, Visakhapatnam",1150 ,"5,300 / sq ft", 60.95 L,Under Construction,Possession by Dec 20222 Bathrooms2nd of 5floor,No
2637,"3 BHK Apartment in Sai Sampath VvSheela Nagar, Visakhapatnam",Sainadh,"Sheela Nagar, Visakhapatnam",1400 ,"4,500 / sq ft", 63 L,Under Construction,Possession by Nov 20223 Bathrooms2nd of 4floor,No
2638,"2 BHK Apartment in Sree nivasam atchuthapuramAtchutapuram, Visakhapatnam",Neelu Neelima,"Atchutapuram, Visakhapatnam",1000 ,"2,700 / sq ft", 27 L,Under Construction,Possession by Oct 20242 Bathrooms2nd of 5floor,No
2639,"Residential Plot in Peram aditya royalTagarapuvalasa, Visakhapatnam",property advisor,"Tagarapuvalasa, Visakhapatnam",1800 ,"1,105 / sq ft", 19.9 L,New,1 open sides 1 L booking amountEast facing,No
2640,"Residential Plot in seshadri townshipBhogapuram, Visakhapatnam",property advisor,"Bhogapuram, Visakhapatnam",1800 ,"1,222 / sq ft", 22 L,New,1 open sides 2 L booking amountSouth facing,No
2641,"Residential Plot in Peram Aditya GrandTagarapuvalasa, Visakhapatnam",property advisor,"Tagarapuvalasa, Visakhapatnam",1800 ,"1,333 / sq ft", 24 L,New,1 open sides 1 L booking amountNorth facing,No
2642,"Residential Plot in Peram Aditya Lahari IIModavalasa, Visakhapatnam",property advisor,"Modavalasa, Visakhapatnam",1800 ,888 / sq ft, 16 L,New,1 open sides 2 L booking amountNorth facing,No
2643,"2 BHK Apartment in Sri Pavan Pavan Mitra AppartmentsMadhurawada, Visakhapatnam",Reddy,"Madhurawada, Visakhapatnam",895 ,"4,513 / sq ft", 40.4 L,Ready to move,1 - 2 years old2 Bathrooms4th of 7floor,No
2644,"2 BHK Independent HouseJagadamba Junction, Visakhapatnam",Guest,"Jagadamba Junction, Visakhapatnam",400 ,"10,000 / sq ft", 40 L,Ready to move,5 - 6 years old2 BathroomsNew ,No
2645,"2 BHK Apartment in Honeyy SreenivasamAchutapuram, Visakhapatnam",Gondu Janardhanarao,"Achutapuram, Visakhapatnam",1000 ,"1,800 / sq ft", 18 L,Under Construction,Possession by May 20252 Bathrooms3rd of 8floor,Yes
2646,"3 BHK Apartment in BVL AakankshaGajuwaka, Visakhapatnam",Swati realtor,"Gajuwaka, Visakhapatnam",1420 ,"5,532 / sq ft", 78.56 L,Ready to move,2 BathroomsResale 1 balcony,No
2647,"3 BHK Apartment in MK BlissPedda Waltair, Visakhapatnam",Swati realtor,"Pedda Waltair, Visakhapatnam",1850 ,"4,667 / sq ft", 86.35 L,Ready to move,5 - 6 years old3 Bathrooms7th of 13floor,No
