,proprty_type,seller,Location,Area in sqft,Rate/sq_ft,price,status,possession,Approved by RERA
2535,"Residential Plot in Siri Venkateswara Alluris NandanavanamModavalasa, Visakhapatnam",SVD Properties,"Modavalasa, Visakhapatnam",1503 ,"1,896 / sq ft", 28.5 L,New,3 open sides 1 L booking amountEast facing,No
2536,"Residential Plot in alluris nanadanavanm highway facingRaghu Engineering College Road, Visakhapatnam",SVD Properties,"Raghu Engineering College Road, Visakhapatnam",1800 ,"1,888 / sq ft", 34 L,New,3 open sides 1 L booking amountEast facing,No
2537,"Residential Plot in Charan Hill View MeadowAnandapuram, Visakhapatnam",bhushan,"Anandapuram, Visakhapatnam",1800 ,"1,333 / sq ft", 24 L,New,1 open sides 1 L booking amountEast facing,No
2538,"Residential Plot in DallarsBhogapuram Road, Visakhapatnam",bhushan,"Bhogapuram Road, Visakhapatnam",1800 ,"1,111 / sq ft", 20 L,New,1 open sides 1 L booking amountEast facing,No
2539,"Residential Plot in VK gradeenBhogapuram, Visakhapatnam",bhushan,"Bhogapuram, Visakhapatnam",1800 ,"1,777 / sq ft", 32 L,New,1 open sides 1 L booking amountEast facing,No
2540,"Residential Plot in Sai brindavanam k kotapaduK Kotapadu, Visakhapatnam",bhushan,"K Kotapadu, Visakhapatnam",1800 ,533 / sq ft, 9.6 L,New,1 open sides 1 L booking amountEast facing,No
2541,"Residential Plot in Charan Sandal GardensRavikamatham, Visakhapatnam",bhushan,"Ravikamatham, Visakhapatnam",2331 ,277 / sq ft, 6.47 L,New,"1 open sides 50,000 booking amountEast facing",No
2542,"Residential Plot in Dream valley bhimilliSanthapalem Bheemunipatnam Narsipatnam Road, Visakhapatnam",bhushan,"Santhapalem Bheemunipatnam Narsipatnam Road, Visakhapatnam",2403 ,"2,888 / sq ft", 69.42 L,Resale,1 open sides 1 L booking amountWest facing,No
2543,"3 BHK Apartment in Sai Gayatri nilayamSeethammadhara, Visakhapatnam",Fortune Properties,"Seethammadhara, Visakhapatnam",1750 ,"7,800 / sq ft", 1.36 Cr,Under Construction,Possession by Mar 20223 Bathrooms2nd of 5floor,No
2544,"2 BHK Apartment in Honeyy SreenivasamAchutapuram, Visakhapatnam",anu,"Achutapuram, Visakhapatnam",1000 ,"2,100 / sq ft", 21 L,Under Construction,Possession by Dec 20242 Bathrooms1st of 5floor,Yes
2545,"2 BHK Apartment in Veda ViharAchutapuram, Visakhapatnam",Swati realtor,"Achutapuram, Visakhapatnam",926 ,"5,615 / sq ft", 52 L,Under Construction,Possession by Jan 20232 Bathrooms9th of 19floor,Yes
2546,"2 BHK Apartment in V Enclave vvGajuwaka, Visakhapatnam",Sainadh,"Gajuwaka, Visakhapatnam",1150 ,"5,300 / sq ft", 60.95 L,Under Construction,Possession by Nov 20222 Bathrooms2nd of 4floor,No
2547,"3 BHK Apartment in Sai Sampath VvSheela Nagar, Visakhapatnam",Sainadh,"Sheela Nagar, Visakhapatnam",1400 ,"4,500 / sq ft", 63 L,Under Construction,Possession by Nov 20223 Bathrooms2nd of 4floor,No
2548,"3 BHK Apartment in Jayam heightsKurmannapalem, Visakhapatnam",Sainadh,"Kurmannapalem, Visakhapatnam",1455 ,"3,700 / sq ft", 53.83 L,Under Construction,Possession by Dec 20223 Bathrooms2nd of 5floor,No
